date,model,actual_case,non_trained_actual_case
2020-01-22,449.06839525653993,103.0,
2020-01-23,576.5835204913909,195.0,
2020-01-24,738.0892337216624,367.0,
2020-01-25,941.2623017055207,638.0,
2020-01-26,1194.6812800684752,1004.0,
2020-01-27,1507.4299025931298,1440.0,
2020-01-28,1888.3739114458706,1940.0,
2020-01-29,2345.0469508878623,2516.0,
2020-01-30,2882.159350867966,3221.0,
2020-01-31,3499.8877384431007,3977.0,
2020-02-01,4192.29423843591,4718.0,
2020-02-02,4946.387309152589,5430.0,
2020-02-03,5742.3498953310145,6171.0,
2020-02-04,6555.220991864894,7002.0,
2020-02-05,7357.845679181642,7744.0,
2020-02-06,8124.406522872781,8441.0,
2020-02-07,8833.597803544402,9122.0,
2020-02-08,9470.659938896993,9678.0,
2020-02-09,10027.95657924279,10159.0,
2020-02-10,10504.280395883196,10578.0,
2020-02-11,10903.379535029675,10961.0,
2020-02-12,11232.23922140506,11333.0,
2020-02-13,11499.514520062181,11626.0,
2020-02-14,11714.316984513238,11886.0,
2020-02-15,11885.398588585935,12098.0,
2020-02-16,12020.682224602728,12264.0,
2020-02-17,12127.051585629148,12375.0,
2020-02-18,12210.31304936448,12457.0,
2020-02-19,12275.258580801043,,12515.0
2020-02-20,12325.778966871212,,
2020-02-21,12364.994647132433,,
2020-02-22,12395.38496241381,,
2020-02-23,12418.905888539939,,
2020-02-24,12437.092134453598,,
2020-02-25,12451.142859922562,,
2020-02-26,12461.992046436939,,
2020-02-27,12470.365352111667,,
2020-02-28,12476.825513780967,,
2020-02-29,12481.80829164071,,
2020-03-01,12485.650743329534,,
2020-03-02,12488.613356416947,,
2020-03-03,12490.897309621589,,
2020-03-04,12492.657897216768,,
2020-03-05,12494.014947155456,,
2020-03-06,12495.060892926585,,
2020-03-07,12495.867019710413,,
2020-03-08,12496.488293124845,,
2020-03-09,12496.967089451598,,
2020-03-10,12497.336075615218,,
2020-03-11,12497.62043174486,,
2020-03-12,12497.839565812239,,
2020-03-13,12498.008436079916,,
2020-03-14,12498.138570862518,,
2020-03-15,12498.238854760553,,
2020-03-16,12498.316134773408,,
2020-03-17,12498.37568751359,,
2020-03-18,12498.421579327332,,
2020-03-19,12498.45694385441,,
2020-03-20,12498.484195945975,,
2020-03-21,12498.505196527702,,
2020-03-22,12498.521379654097,,
