variable,value,date
Afghanistan_nan,0,2020-01-22
Afghanistan_nan,0,2020-01-23
Afghanistan_nan,0,2020-01-24
Afghanistan_nan,0,2020-01-25
Afghanistan_nan,0,2020-01-26
Afghanistan_nan,0,2020-01-27
Afghanistan_nan,0,2020-01-28
Afghanistan_nan,0,2020-01-29
Afghanistan_nan,0,2020-01-30
Afghanistan_nan,0,2020-01-31
Afghanistan_nan,0,2020-02-01
Afghanistan_nan,0,2020-02-02
Afghanistan_nan,0,2020-02-03
Afghanistan_nan,0,2020-02-04
Afghanistan_nan,0,2020-02-05
Afghanistan_nan,0,2020-02-06
Afghanistan_nan,0,2020-02-07
Afghanistan_nan,0,2020-02-08
Afghanistan_nan,0,2020-02-09
Afghanistan_nan,0,2020-02-10
Afghanistan_nan,0,2020-02-11
Afghanistan_nan,0,2020-02-12
Afghanistan_nan,0,2020-02-13
Afghanistan_nan,0,2020-02-14
Afghanistan_nan,0,2020-02-15
Afghanistan_nan,0,2020-02-16
Afghanistan_nan,0,2020-02-17
Afghanistan_nan,0,2020-02-18
Afghanistan_nan,0,2020-02-19
Afghanistan_nan,0,2020-02-20
Afghanistan_nan,0,2020-02-21
Afghanistan_nan,0,2020-02-22
Afghanistan_nan,0,2020-02-23
Afghanistan_nan,1,2020-02-24
Afghanistan_nan,1,2020-02-25
Afghanistan_nan,1,2020-02-26
Afghanistan_nan,1,2020-02-27
Afghanistan_nan,1,2020-02-28
Afghanistan_nan,1,2020-02-29
Afghanistan_nan,1,2020-03-01
Afghanistan_nan,1,2020-03-02
Afghanistan_nan,1,2020-03-03
Afghanistan_nan,1,2020-03-04
Afghanistan_nan,1,2020-03-05
Afghanistan_nan,1,2020-03-06
Afghanistan_nan,1,2020-03-07
Afghanistan_nan,4,2020-03-08
Afghanistan_nan,4,2020-03-09
Afghanistan_nan,5,2020-03-10
Afghanistan_nan,7,2020-03-11
Afghanistan_nan,7,2020-03-12
Afghanistan_nan,7,2020-03-13
Afghanistan_nan,11,2020-03-14
Afghanistan_nan,16,2020-03-15
Afghanistan_nan,21,2020-03-16
Afghanistan_nan,22,2020-03-17
Afghanistan_nan,22,2020-03-18
Afghanistan_nan,22,2020-03-19
Afghanistan_nan,24,2020-03-20
Afghanistan_nan,24,2020-03-21
Afghanistan_nan,40,2020-03-22
Afghanistan_nan,40,2020-03-23
Afghanistan_nan,74,2020-03-24
Afghanistan_nan,84,2020-03-25
Afghanistan_nan,94,2020-03-26
Albania_nan,0,2020-01-22
Albania_nan,0,2020-01-23
Albania_nan,0,2020-01-24
Albania_nan,0,2020-01-25
Albania_nan,0,2020-01-26
Albania_nan,0,2020-01-27
Albania_nan,0,2020-01-28
Albania_nan,0,2020-01-29
Albania_nan,0,2020-01-30
Albania_nan,0,2020-01-31
Albania_nan,0,2020-02-01
Albania_nan,0,2020-02-02
Albania_nan,0,2020-02-03
Albania_nan,0,2020-02-04
Albania_nan,0,2020-02-05
Albania_nan,0,2020-02-06
Albania_nan,0,2020-02-07
Albania_nan,0,2020-02-08
Albania_nan,0,2020-02-09
Albania_nan,0,2020-02-10
Albania_nan,0,2020-02-11
Albania_nan,0,2020-02-12
Albania_nan,0,2020-02-13
Albania_nan,0,2020-02-14
Albania_nan,0,2020-02-15
Albania_nan,0,2020-02-16
Albania_nan,0,2020-02-17
Albania_nan,0,2020-02-18
Albania_nan,0,2020-02-19
Albania_nan,0,2020-02-20
Albania_nan,0,2020-02-21
Albania_nan,0,2020-02-22
Albania_nan,0,2020-02-23
Albania_nan,0,2020-02-24
Albania_nan,0,2020-02-25
Albania_nan,0,2020-02-26
Albania_nan,0,2020-02-27
Albania_nan,0,2020-02-28
Albania_nan,0,2020-02-29
Albania_nan,0,2020-03-01
Albania_nan,0,2020-03-02
Albania_nan,0,2020-03-03
Albania_nan,0,2020-03-04
Albania_nan,0,2020-03-05
Albania_nan,0,2020-03-06
Albania_nan,0,2020-03-07
Albania_nan,0,2020-03-08
Albania_nan,2,2020-03-09
Albania_nan,10,2020-03-10
Albania_nan,12,2020-03-11
Albania_nan,23,2020-03-12
Albania_nan,33,2020-03-13
Albania_nan,38,2020-03-14
Albania_nan,42,2020-03-15
Albania_nan,51,2020-03-16
Albania_nan,55,2020-03-17
Albania_nan,59,2020-03-18
Albania_nan,64,2020-03-19
Albania_nan,70,2020-03-20
Albania_nan,76,2020-03-21
Albania_nan,89,2020-03-22
Albania_nan,104,2020-03-23
Albania_nan,123,2020-03-24
Albania_nan,146,2020-03-25
Albania_nan,174,2020-03-26
Algeria_nan,0,2020-01-22
Algeria_nan,0,2020-01-23
Algeria_nan,0,2020-01-24
Algeria_nan,0,2020-01-25
Algeria_nan,0,2020-01-26
Algeria_nan,0,2020-01-27
Algeria_nan,0,2020-01-28
Algeria_nan,0,2020-01-29
Algeria_nan,0,2020-01-30
Algeria_nan,0,2020-01-31
Algeria_nan,0,2020-02-01
Algeria_nan,0,2020-02-02
Algeria_nan,0,2020-02-03
Algeria_nan,0,2020-02-04
Algeria_nan,0,2020-02-05
Algeria_nan,0,2020-02-06
Algeria_nan,0,2020-02-07
Algeria_nan,0,2020-02-08
Algeria_nan,0,2020-02-09
Algeria_nan,0,2020-02-10
Algeria_nan,0,2020-02-11
Algeria_nan,0,2020-02-12
Algeria_nan,0,2020-02-13
Algeria_nan,0,2020-02-14
Algeria_nan,0,2020-02-15
Algeria_nan,0,2020-02-16
Algeria_nan,0,2020-02-17
Algeria_nan,0,2020-02-18
Algeria_nan,0,2020-02-19
Algeria_nan,0,2020-02-20
Algeria_nan,0,2020-02-21
Algeria_nan,0,2020-02-22
Algeria_nan,0,2020-02-23
Algeria_nan,0,2020-02-24
Algeria_nan,1,2020-02-25
Algeria_nan,1,2020-02-26
Algeria_nan,1,2020-02-27
Algeria_nan,1,2020-02-28
Algeria_nan,1,2020-02-29
Algeria_nan,1,2020-03-01
Algeria_nan,3,2020-03-02
Algeria_nan,5,2020-03-03
Algeria_nan,12,2020-03-04
Algeria_nan,12,2020-03-05
Algeria_nan,17,2020-03-06
Algeria_nan,17,2020-03-07
Algeria_nan,19,2020-03-08
Algeria_nan,20,2020-03-09
Algeria_nan,20,2020-03-10
Algeria_nan,20,2020-03-11
Algeria_nan,24,2020-03-12
Algeria_nan,26,2020-03-13
Algeria_nan,37,2020-03-14
Algeria_nan,48,2020-03-15
Algeria_nan,54,2020-03-16
Algeria_nan,60,2020-03-17
Algeria_nan,74,2020-03-18
Algeria_nan,87,2020-03-19
Algeria_nan,90,2020-03-20
Algeria_nan,139,2020-03-21
Algeria_nan,201,2020-03-22
Algeria_nan,230,2020-03-23
Algeria_nan,264,2020-03-24
Algeria_nan,302,2020-03-25
Algeria_nan,367,2020-03-26
Andorra_nan,0,2020-01-22
Andorra_nan,0,2020-01-23
Andorra_nan,0,2020-01-24
Andorra_nan,0,2020-01-25
Andorra_nan,0,2020-01-26
Andorra_nan,0,2020-01-27
Andorra_nan,0,2020-01-28
Andorra_nan,0,2020-01-29
Andorra_nan,0,2020-01-30
Andorra_nan,0,2020-01-31
Andorra_nan,0,2020-02-01
Andorra_nan,0,2020-02-02
Andorra_nan,0,2020-02-03
Andorra_nan,0,2020-02-04
Andorra_nan,0,2020-02-05
Andorra_nan,0,2020-02-06
Andorra_nan,0,2020-02-07
Andorra_nan,0,2020-02-08
Andorra_nan,0,2020-02-09
Andorra_nan,0,2020-02-10
Andorra_nan,0,2020-02-11
Andorra_nan,0,2020-02-12
Andorra_nan,0,2020-02-13
Andorra_nan,0,2020-02-14
Andorra_nan,0,2020-02-15
Andorra_nan,0,2020-02-16
Andorra_nan,0,2020-02-17
Andorra_nan,0,2020-02-18
Andorra_nan,0,2020-02-19
Andorra_nan,0,2020-02-20
Andorra_nan,0,2020-02-21
Andorra_nan,0,2020-02-22
Andorra_nan,0,2020-02-23
Andorra_nan,0,2020-02-24
Andorra_nan,0,2020-02-25
Andorra_nan,0,2020-02-26
Andorra_nan,0,2020-02-27
Andorra_nan,0,2020-02-28
Andorra_nan,0,2020-02-29
Andorra_nan,0,2020-03-01
Andorra_nan,1,2020-03-02
Andorra_nan,1,2020-03-03
Andorra_nan,1,2020-03-04
Andorra_nan,1,2020-03-05
Andorra_nan,1,2020-03-06
Andorra_nan,1,2020-03-07
Andorra_nan,1,2020-03-08
Andorra_nan,1,2020-03-09
Andorra_nan,1,2020-03-10
Andorra_nan,1,2020-03-11
Andorra_nan,1,2020-03-12
Andorra_nan,1,2020-03-13
Andorra_nan,1,2020-03-14
Andorra_nan,1,2020-03-15
Andorra_nan,2,2020-03-16
Andorra_nan,39,2020-03-17
Andorra_nan,39,2020-03-18
Andorra_nan,53,2020-03-19
Andorra_nan,75,2020-03-20
Andorra_nan,88,2020-03-21
Andorra_nan,113,2020-03-22
Andorra_nan,133,2020-03-23
Andorra_nan,164,2020-03-24
Andorra_nan,188,2020-03-25
Andorra_nan,224,2020-03-26
Angola_nan,0,2020-01-22
Angola_nan,0,2020-01-23
Angola_nan,0,2020-01-24
Angola_nan,0,2020-01-25
Angola_nan,0,2020-01-26
Angola_nan,0,2020-01-27
Angola_nan,0,2020-01-28
Angola_nan,0,2020-01-29
Angola_nan,0,2020-01-30
Angola_nan,0,2020-01-31
Angola_nan,0,2020-02-01
Angola_nan,0,2020-02-02
Angola_nan,0,2020-02-03
Angola_nan,0,2020-02-04
Angola_nan,0,2020-02-05
Angola_nan,0,2020-02-06
Angola_nan,0,2020-02-07
Angola_nan,0,2020-02-08
Angola_nan,0,2020-02-09
Angola_nan,0,2020-02-10
Angola_nan,0,2020-02-11
Angola_nan,0,2020-02-12
Angola_nan,0,2020-02-13
Angola_nan,0,2020-02-14
Angola_nan,0,2020-02-15
Angola_nan,0,2020-02-16
Angola_nan,0,2020-02-17
Angola_nan,0,2020-02-18
Angola_nan,0,2020-02-19
Angola_nan,0,2020-02-20
Angola_nan,0,2020-02-21
Angola_nan,0,2020-02-22
Angola_nan,0,2020-02-23
Angola_nan,0,2020-02-24
Angola_nan,0,2020-02-25
Angola_nan,0,2020-02-26
Angola_nan,0,2020-02-27
Angola_nan,0,2020-02-28
Angola_nan,0,2020-02-29
Angola_nan,0,2020-03-01
Angola_nan,0,2020-03-02
Angola_nan,0,2020-03-03
Angola_nan,0,2020-03-04
Angola_nan,0,2020-03-05
Angola_nan,0,2020-03-06
Angola_nan,0,2020-03-07
Angola_nan,0,2020-03-08
Angola_nan,0,2020-03-09
Angola_nan,0,2020-03-10
Angola_nan,0,2020-03-11
Angola_nan,0,2020-03-12
Angola_nan,0,2020-03-13
Angola_nan,0,2020-03-14
Angola_nan,0,2020-03-15
Angola_nan,0,2020-03-16
Angola_nan,0,2020-03-17
Angola_nan,0,2020-03-18
Angola_nan,0,2020-03-19
Angola_nan,1,2020-03-20
Angola_nan,2,2020-03-21
Angola_nan,2,2020-03-22
Angola_nan,3,2020-03-23
Angola_nan,3,2020-03-24
Angola_nan,3,2020-03-25
Angola_nan,4,2020-03-26
Antigua_and_Barbuda_nan,0,2020-01-22
Antigua_and_Barbuda_nan,0,2020-01-23
Antigua_and_Barbuda_nan,0,2020-01-24
Antigua_and_Barbuda_nan,0,2020-01-25
Antigua_and_Barbuda_nan,0,2020-01-26
