date,model,actual_case,non_trained_actual_case
2020-01-22,1265.9071129309568,444.0,
2020-01-23,1530.4938825820564,444.0,
2020-01-24,1849.1076562574874,549.0,
2020-01-25,2232.19855751504,761.0,
2020-01-26,2691.975016436967,1058.0,
2020-01-27,3242.5808177249196,1423.0,
2020-01-28,3900.233201470789,3554.0,
2020-01-29,4683.288791394805,3554.0,
2020-01-30,5612.192364537621,4903.0,
2020-01-31,6709.250877354631,5806.0,
2020-02-01,7998.163888687547,7153.0,
2020-02-02,9503.235374032873,11177.0,
2020-02-03,11248.196656865182,13522.0,
2020-02-04,13254.593240432807,16678.0,
2020-02-05,15539.737506385693,19665.0,
2020-02-06,18114.309689973357,22112.0,
2020-02-07,20979.798926037583,24953.0,
2020-02-08,24126.099198862266,27100.0,
2020-02-09,27529.68009084387,29631.0,
2020-02-10,31152.79445675253,31728.0,
2020-02-11,34944.11975796947,33366.0,
2020-02-12,38841.03439409194,33366.0,
2020-02-13,42773.427294394896,48206.0,
2020-02-14,46668.60231137161,54406.0,
2020-02-15,50456.574242369556,56249.0,
2020-02-16,54074.954331530396,58182.0,
2020-02-17,57472.72679782803,59989.0,
2020-02-18,60612.48563374917,61682.0,
2020-02-19,63471.03801735938,,62031.0
2020-02-20,66038.58184117897,,
2020-02-21,68316.8571784607,,
2020-02-22,70316.73390580631,,
2020-02-23,72055.65339072958,,
2020-02-24,73555.23616666009,,
2020-02-25,74839.24450262757,,
2020-02-26,75931.9799696171,,
2020-02-27,76857.11642869595,,
2020-02-28,77636.92039135883,,
2020-02-29,78291.78818083701,,
2020-03-01,78840.02493593175,,
2020-03-02,79297.79682806408,,
2020-03-03,79679.19920585741,,
2020-03-04,79996.39598018485,,
2020-03-05,80259.79728725705,,
2020-03-06,80478.25234631223,,
2020-03-07,80659.24220936393,,
2020-03-08,80809.06291941518,,
2020-03-09,80932.99375694813,,
2020-03-10,81035.44811059228,,
2020-03-11,81120.10638062941,,
2020-03-12,81190.03148561234,,
2020-03-13,81247.7682073818,,
2020-03-14,81295.42793970898,,
2020-03-15,81334.76051807907,,
2020-03-16,81367.21478555398,,
2020-03-17,81393.98944897411,,
2020-03-18,81416.07563880051,,
2020-03-19,81434.29242905298,,
2020-03-20,81449.31641616467,,
2020-03-21,81461.70630596094,,
2020-03-22,81471.92332104043,,
