Region	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009
Beijing	30,319.98	28,014.94	25,669.13	23,014.59	21,330.83	19,800.81	17,879.40	16,251.93	14,113.58	12,153.03
Tianjin	18,809.64	18,549.19	17,885.39	16,538.19	15,726.93	14,442.01	12,893.88	11,307.28	9,224.46	7,521.85
Hebei	36,010.27	34,016.32	32,070.45	29,806.11	29,421.15	28,442.95	26,575.01	24,515.76	20,394.26	17,235.48
Shanxi	16,818.11	15,528.42	13,050.41	12,766.49	12,761.49	12,665.25	12,112.83	11,237.55	9,200.86	7,358.31
Inner Mongolia	17,289.22	16,096.21	18,128.10	17,831.51	17,770.19	16,916.50	15,880.58	14,359.88	11,672.00	9,740.25
Liaoning	25,315.35	23,409.24	22,246.90	28,669.02	28,626.58	27,213.22	24,846.43	22,226.70	18,457.27	15,212.49
Jilin	15,074.62	14,944.53	14,776.80	14,063.13	13,803.14	13,046.40	11,939.24	10,568.83	8,667.58	7,278.75
Heilongjiang	16,361.62	15,902.68	15,386.09	15,083.67	15,039.38	14,454.91	13,691.58	12,582.00	10,368.60	8,587.00
Shanghai	32,679.87	30,632.99	28,178.65	25,123.45	23,567.70	21,818.15	20,181.72	19,195.69	17,165.98	15,046.45
Jiangsu	92,595.40	85,869.76	77,388.28	70,116.38	65,088.32	59,753.37	54,058.22	49,110.27	41,425.48	34,457.30
Zhejiang	56,197.15	51,768.26	47,251.36	42,886.49	40,173.03	37,756.59	34,665.33	32,318.85	27,722.31	22,990.35
Anhui	30,006.82	27,018.00	24,407.62	22,005.63	20,848.75	19,229.34	17,212.05	15,300.65	12,359.33	10,062.82
Fujian	35,804.04	32,182.09	28,810.58	25,979.82	24,055.76	21,868.49	19,701.78	17,560.18	14,737.12	12,236.53
Jiangxi	21,984.78	20,006.31	18,499.00	16,723.78	15,714.63	14,410.19	12,948.88	11,702.82	9,451.26	7,655.18
Shandong	76,469.67	72,634.15	68,024.49	63,002.33	59,426.59	55,230.32	50,013.24	45,361.85	39,169.92	33,896.65
Henan	48,055.86	44,552.83	40,471.79	37,002.16	34,938.24	32,191.30	29,599.31	26,931.03	23,092.36	19,480.46
Hubei	39,366.55	35,478.09	32,665.38	29,550.19	27,379.22	24,791.83	22,250.45	19,632.26	15,967.61	12,961.10
Hunan	36,425.78	33,902.96	31,551.37	28,902.21	27,037.32	24,621.67	22,154.23	19,669.56	16,037.96	13,059.69
Guangdong	97,277.77	89,705.23	80,854.91	72,812.55	67,809.85	62,474.79	57,067.92	53,210.28	46,013.06	39,482.56
Guangxi	20,352.51	18,523.26	18,317.64	16,803.12	15,672.89	14,449.90	13,035.10	11,720.87	9,569.85	7,759.16
Hainan	4,832.05	4,462.54	4,053.20	3,702.76	3,500.72	3,177.56	2,855.54	2,522.66	2,064.50	1,654.21
Chongqing	20,363.19	19,424.73	17,740.59	15,717.27	14,262.60	12,783.26	11,409.60	10,011.37	7,925.58	6,530.01
Sichuan	40,678.13	36,980.22	32,934.54	30,053.10	28,536.66	26,392.07	23,872.80	21,026.68	17,185.48	14,151.28
Guizhou	14,806.45	13,540.83	11,776.73	10,502.56	9,266.39	8,086.86	6,852.20	5,701.84	4,602.16	3,912.68
Yunnan	17,881.12	16,376.34	14,788.42	13,619.17	12,814.59	11,832.31	10,309.47	8,893.12	7,224.18	6,169.75
Tibet	1,477.63	1,310.92	1,151.41	1,026.39	920.83	815.67	701.03	605.83	507.46	441.36
Shaanxi	24,438.32	21,898.81	19,399.59	18,021.86	17,689.94	16,205.45	14,453.68	12,512.30	10,123.48	8,169.80
Gansu	8,246.07	7,459.90	7,200.37	6,790.32	6,836.82	6,330.69	5,650.20	5,020.37	4,120.75	3,387.56
Qinghai	2,865.23	2,624.83	2,572.49	2,417.05	2,303.32	2,122.06	1,893.54	1,670.44	1,350.43	1,081.27
Ningxia	3,705.18	3,443.56	3,168.59	2,911.77	2,752.10	2,577.57	2,341.29	2,102.21	1,689.65	1,353.31
Xinjiang	12,199.08	10,881.96	9,649.70	9,324.80	9,273.46	8,443.84	7,505.31	6,610.05	5,437.47	4,277.05
